story,status,planned,executed,covered,missing,planned_list,executed_list,missing_list,extra_list,extra_same_family_list,extra_diff_family_list,extra_families,status_reason
STRY0082724,GREEN,13,13,13,0,"CEMOVAR01,CEMOVAR02,CEMOVAR03,CEMOVAR04,CEMOVAR05,CEMOVAR06,CEMOVAR07,CEMOVAR08,CEMOVAR09,CEMOVAR10,CEMOVAR11,CEMOVAR12,CEMOVAR13","CEMOVAR01,CEMOVAR02,CEMOVAR03,CEMOVAR04,CEMOVAR05,CEMOVAR06,CEMOVAR07,CEMOVAR08,CEMOVAR09,CEMOVAR10,CEMOVAR11,CEMOVAR12,CEMOVAR13",,,,,,ALL_PLANNED_EXECUTED
STRY0082729,GREEN,13,13,13,0,"CEMOVAR01,CEMOVAR02,CEMOVAR03,CEMOVAR04,CEMOVAR05,CEMOVAR06,CEMOVAR07,CEMOVAR08,CEMOVAR09,CEMOVAR10,CEMOVAR11,CEMOVAR12,CEMOVAR13","CEMOVAR01,CEMOVAR02,CEMOVAR03,CEMOVAR04,CEMOVAR05,CEMOVAR06,CEMOVAR07,CEMOVAR08,CEMOVAR09,CEMOVAR10,CEMOVAR11,CEMOVAR12,CEMOVAR13",,,,,,ALL_PLANNED_EXECUTED
STRY0083979,GREEN,2,2,2,0,"DD04,DD05","DD04,DD05",,,,,,ALL_PLANNED_EXECUTED
STRY0083981,GREEN,3,3,3,0,"DD01,DD02,DD03","DD01,DD02,DD03",,,,,,ALL_PLANNED_EXECUTED
STRY0083985,GREEN,2,2,2,0,"DD15,DD16","DD15,DD16",,,,,,ALL_PLANNED_EXECUTED
STRY0083988,GREEN,3,3,3,0,"DD13,DD14,DD17","DD13,DD14,DD17",,,,,,ALL_PLANNED_EXECUTED
STRY0083990,GREEN,1,1,1,0,DD12,DD12,,,,,,ALL_PLANNED_EXECUTED
STRY0083996,GREEN,2,2,2,0,"DD10,DD11","DD10,DD11",,,,,,ALL_PLANNED_EXECUTED
STRY0083998,GREEN,2,2,2,0,"DD10,DD11","DD10,DD11",,,,,,ALL_PLANNED_EXECUTED
STRY0083999,GREEN,2,2,2,0,"DD10,DD11","DD10,DD11",,,,,,ALL_PLANNED_EXECUTED
STRY0084042,RED,4,0,0,4,"&,ALL,CEMO,CEMOVAR",,"&,ALL,CEMO,CEMOVAR",,,,,MISSING_PLANNED
STRY0084043,RED,4,0,0,4,"&,ALL,CEMO,CEMOVAR",,"&,ALL,CEMO,CEMOVAR",,,,,MISSING_PLANNED
STRY0084044,GREEN,6,6,6,0,"DD12,DD13,DD14,DD15,DD16,DD17","DD12,DD13,DD14,DD15,DD16,DD17",,,,,,ALL_PLANNED_EXECUTED
STRY0084045,GREEN,6,6,6,0,"DD12,DD13,DD14,DD15,DD16,DD17","DD12,DD13,DD14,DD15,DD16,DD17",,,,,,ALL_PLANNED_EXECUTED
STRY0084046,GREEN,1,1,1,0,DD06,DD06,,,,,,ALL_PLANNED_EXECUTED
STRY0084048,RED,4,0,0,4,"&,ALL,CEMO,CEMOVAR",,"&,ALL,CEMO,CEMOVAR",,,,,MISSING_PLANNED
STRY0084049,GREEN,1,1,1,0,DD07,DD07,,,,,,ALL_PLANNED_EXECUTED
STRY0084052,GREEN,2,2,2,0,"DD08,DD09","DD08,DD09",,,,,,ALL_PLANNED_EXECUTED
STRY0084116,GREEN,23,23,23,0,"CEMO01,CEMO02,CEMO03,CEMO04,CEMO05,CEMO06,CEMO07,CEMO08,CEMO09,CEMO10,CEMO11,CEMO12,CEMO13,CEMO14,CEMO15,CEMO16,CEMO17,CEMO18,CEMO19,CEMO20,CEMO21,CEMO22,CEMO23","CEMO01,CEMO02,CEMO03,CEMO04,CEMO05,CEMO06,CEMO07,CEMO08,CEMO09,CEMO10,CEMO11,CEMO12,CEMO13,CEMO14,CEMO15,CEMO16,CEMO17,CEMO18,CEMO19,CEMO20,CEMO21,CEMO22,CEMO23",,,,,,ALL_PLANNED_EXECUTED
STRY0084134,GREEN,1,1,1,0,CEMO22,CEMO22,,,,,,ALL_PLANNED_EXECUTED
STRY0084142,RED,5,0,0,5,"DOCUMENT,NO,ONLY,REVIEW,TEST",,"DOCUMENT,NO,ONLY,REVIEW,TEST",,,,,MISSING_PLANNED
STRY0084282,GREEN,2,2,2,0,"DD08,DD09","DD08,DD09",,,,,,ALL_PLANNED_EXECUTED
